SampleID,Index,OlinkID,UniProt,Assay,MissingFreq,Panel,Panel_Version,PlateID,QC_Warning,LOD,NPX
Sample_002,2,OID00036,P02768,ALB,0.043,Cardiometabolic,v1.0,Plate_1,PASS,0.80,4.3475
Sample_002,2,OID00037,P04217,A1BG,0.009,Cardiometabolic,v1.0,Plate_1,PASS,0.21,7.0973
Sample_002,2,OID00038,P01023,A2M,0.034,Cardiometabolic,v1.0,Plate_1,PASS,0.93,8.1898
Sample_002,2,OID00039,P10909,CLU,0.012,Cardiometabolic,v1.0,Plate_1,PASS,1.35,5.0704
Sample_002,2,OID00040,P01024,C3,0.031,Cardiometabolic,v1.0,Plate_1,PASS,0.93,5.7548
Sample_003,3,OID00001,P05231,IL6,0.047,Inflammation,v1.0,Plate_1,PASS,0.83,5.0645
Sample_003,3,OID00002,P01375,TNF,0.036,Inflammation,v1.0,Plate_1,PASS,0.39,5.9651
Sample_003,3,OID00003,P10145,CXCL8,0.015,Inflammation,v1.0,Plate_1,PASS,1.04,6.9069
Sample_003,3,OID00004,P13232,IL10,0.038,Inflammation,v1.0,Plate_1,PASS,0.54,6.5019
Sample_003,3,OID00005,P01579,IFNG,0.050,Inflammation,v1.0,Plate_1,PASS,1.50,6.4913
Sample_003,3,OID00006,P22301,IL1RL1,0.011,Inflammation,v1.0,Plate_1,PASS,0.20,5.7311
Sample_003,3,OID00007,P05112,IL4,0.044,Inflammation,v1.0,Plate_1,PASS,1.33,4.6672
Sample_003,3,OID00008,P60568,IL2,0.008,Inflammation,v1.0,Plate_1,PASS,0.62,8.4743
Sample_003,3,OID00009,P01374,LTA,0.049,Inflammation,v1.0,Plate_1,PASS,0.96,6.1748
Sample_003,3,OID00010,P29459,IL12A,0.000,Inflammation,v1.0,Plate_1,PASS,1.02,2.9773
Sample_003,3,OID00011,Q16552,IL17A,0.047,Inflammation,v1.0,Plate_1,PASS,1.03,5.5178
Sample_003,3,OID00012,Q9NPH3,IL1A,0.006,Inflammation,v1.0,Plate_1,PASS,0.29,3.8455
Sample_003,3,OID00013,P01583,IL1B,0.030,Inflammation,v1.0,Plate_1,PASS,0.48,8.2895
Sample_003,3,OID00014,P18510,IL1RN,0.010,Inflammation,v1.0,Plate_1,PASS,1.10,6.1862
Sample_003,3,OID00015,P10147,CCL3,0.045,Inflammation,v1.0,Plate_1,PASS,0.78,4.2191
Sample_003,3,OID00016,P13236,CCL4,0.005,Inflammation,v1.0,Plate_1,PASS,1.28,4.1228
Sample_003,3,OID00017,P13501,CCL5,0.039,Inflammation,v1.0,Plate_1,PASS,0.10,3.9292
Sample_003,3,OID00018,P78556,CCL20,0.013,Inflammation,v1.0,Plate_1,PASS,0.99,5.5577
Sample_003,3,OID00019,P02778,CXCL10,0.000,Inflammation,v1.0,Plate_1,PASS,0.70,6.6954
Sample_003,3,OID00020,Q07325,CXCL9,0.044,Inflammation,v1.0,Plate_1,PASS,0.21,3.1029
Sample_003,3,OID00021,P09341,GRO1,0.029,Inflammation,v1.0,Plate_1,PASS,1.27,6.5510
Sample_003,3,OID00022,P01137,TGFB1,0.006,Inflammation,v1.0,Plate_1,PASS,0.31,3.9306
Sample_003,3,OID00023,P09038,FGF2,0.043,Cardiometabolic,v1.0,Plate_1,PASS,1.21,3.8504
Sample_003,3,OID00024,P15692,VEGFA,0.011,Cardiometabolic,v1.0,Plate_1,PASS,1.36,7.9991
Sample_003,3,OID00025,P01189,POMC,0.044,Cardiometabolic,v1.0,Plate_1,PASS,1.19,5.0021
Sample_003,3,OID00026,P01308,INS,0.031,Cardiometabolic,v1.0,Plate_1,PASS,0.67,5.6986
Sample_003,3,OID00027,P01258,CALCA,0.049,Cardiometabolic,v1.0,Plate_1,PASS,1.31,6.9518
Sample_003,3,OID00028,P06858,LPL,0.044,Cardiometabolic,v1.0,Plate_1,PASS,1.24,7.8547
Sample_003,3,OID00029,P04114,APOB,0.047,Cardiometabolic,v1.0,Plate_1,PASS,0.57,7.4204
Sample_003,3,OID00030,P02647,APOA1,0.043,Cardiometabolic,v1.0,Plate_1,PASS,1.22,5.3800
Sample_003,3,OID00031,P02649,APOE,0.005,Cardiometabolic,v1.0,Plate_1,PASS,1.20,5.4402
Sample_003,3,OID00032,P05155,SERPING1,0.043,Cardiometabolic,v1.0,Plate_1,PASS,1.32,3.9033
Sample_003,3,OID00033,P02741,CRP,0.015,Cardiometabolic,v1.0,Plate_1,PASS,0.74,7.2761
Sample_003,3,OID00034,P02787,TF,0.011,Cardiometabolic,v1.0,Plate_1,PASS,1.21,7.7213
Sample_003,3,OID00035,P00738,HP,0.043,Cardiometabolic,v1.0,Plate_1,PASS,0.56,5.9718
Sample_003,3,OID00036,P02768,ALB,0.014,Cardiometabolic,v1.0,Plate_1,PASS,1.45,5.1456
Sample_003,3,OID00037,P04217,A1BG,0.027,Cardiometabolic,v1.0,Plate_1,PASS,1.47,4.0450
Sample_003,3,OID00038,P01023,A2M,0.006,Cardiometabolic,v1.0,Plate_1,PASS,1.41,3.8235
Sample_003,3,OID00039,P10909,CLU,0.013,Cardiometabolic,v1.0,Plate_1,PASS,1.45,5.9246
Sample_003,3,OID00040,P01024,C3,0.022,Cardiometabolic,v1.0,Plate_1,PASS,0.25,4.8260
Sample_004,4,OID00001,P05231,IL6,0.026,Inflammation,v1.0,Plate_1,PASS,0.95,6.6251
Sample_004,4,OID00002,P01375,TNF,0.029,Inflammation,v1.0,Plate_1,PASS,0.64,3.7103
Sample_004,4,OID00003,P10145,CXCL8,0.046,Inflammation,v1.0,Plate_1,PASS,0.10,6.7301
Sample_004,4,OID00004,P13232,IL10,0.036,Inflammation,v1.0,Plate_1,PASS,0.85,7.3552
Sample_004,4,OID00005,P01579,IFNG,0.003,Inflammation,v1.0,Plate_1,PASS,0.61,4.8870
Sample_004,4,OID00006,P22301,IL1RL1,0.017,Inflammation,v1.0,Plate_1,PASS,1.03,2.7673
Sample_004,4,OID00007,P05112,IL4,0.015,Inflammation,v1.0,Plate_1,PASS,1.11,3.8619
Sample_004,4,OID00008,P60568,IL2,0.020,Inflammation,v1.0,Plate_1,PASS,0.53,7.6800
Sample_004,4,OID00009,P01374,LTA,0.021,Inflammation,v1.0,Plate_1,PASS,0.28,3.9730
Sample_004,4,OID00010,P29459,IL12A,0.034,Inflammation,v1.0,Plate_1,PASS,1.42,5.7228
Sample_004,4,OID00011,Q16552,IL17A,0.027,Inflammation,v1.0,Plate_1,PASS,0.52,6.6991
Sample_004,4,OID00012,Q9NPH3,IL1A,0.014,Inflammation,v1.0,Plate_1,PASS,0.10,3.8107
Sample_004,4,OID00013,P01583,IL1B,0.023,Inflammation,v1.0,Plate_1,PASS,1.02,5.0129
Sample_004,4,OID00014,P18510,IL1RN,0.011,Inflammation,v1.0,Plate_1,PASS,0.72,5.8425
Sample_004,4,OID00015,P10147,CCL3,0.008,Inflammation,v1.0,Plate_1,PASS,1.21,1.8185
Sample_004,4,OID00016,P13236,CCL4,0.026,Inflammation,v1.0,Plate_1,PASS,0.22,5.5411
Sample_004,4,OID00017,P13501,CCL5,0.038,Inflammation,v1.0,Plate_1,PASS,1.25,4.0906
Sample_004,4,OID00018,P78556,CCL20,0.011,Inflammation,v1.0,Plate_1,PASS,1.04,3.9950
Sample_004,4,OID00019,P02778,CXCL10,0.024,Inflammation,v1.0,Plate_1,PASS,0.44,6.9048
Sample_004,4,OID00020,Q07325,CXCL9,0.004,Inflammation,v1.0,Plate_1,PASS,1.29,5.3167
Sample_004,4,OID00021,P09341,GRO1,0.035,Inflammation,v1.0,Plate_1,PASS,0.37,3.1837
Sample_004,4,OID00022,P01137,TGFB1,0.012,Inflammation,v1.0,Plate_1,PASS,0.79,6.0828
Sample_004,4,OID00023,P09038,FGF2,0.039,Cardiometabolic,v1.0,Plate_1,PASS,1.15,4.9120
Sample_004,4,OID00024,P15692,VEGFA,0.021,Cardiometabolic,v1.0,Plate_1,PASS,0.25,4.8686
Sample_004,4,OID00025,P01189,POMC,0.003,Cardiometabolic,v1.0,Plate_1,PASS,0.83,6.6957
Sample_004,4,OID00026,P01308,INS,0.042,Cardiometabolic,v1.0,Plate_1,PASS,0.45,8.3744
Sample_004,4,OID00027,P01258,CALCA,0.049,Cardiometabolic,v1.0,Plate_1,PASS,1.03,2.4032
Sample_004,4,OID00028,P06858,LPL,0.048,Cardiometabolic,v1.0,Plate_1,PASS,0.93,5.7287
Sample_004,4,OID00029,P04114,APOB,0.025,Cardiometabolic,v1.0,Plate_1,PASS,1.11,6.6035
Sample_004,4,OID00030,P02647,APOA1,0.027,Cardiometabolic,v1.0,Plate_1,PASS,1.26,3.6975
Sample_004,4,OID00031,P02649,APOE,0.013,Cardiometabolic,v1.0,Plate_1,PASS,0.76,6.9765
Sample_004,4,OID00032,P05155,SERPING1,0.032,Cardiometabolic,v1.0,Plate_1,PASS,0.45,3.5103
Sample_004,4,OID00033,P02741,CRP,0.014,Cardiometabolic,v1.0,Plate_1,PASS,0.98,6.9806
Sample_004,4,OID00034,P02787,TF,0.014,Cardiometabolic,v1.0,Plate_1,PASS,0.21,3.1882
Sample_004,4,OID00035,P00738,HP,0.007,Cardiometabolic,v1.0,Plate_1,PASS,0.86,4.8209
Sample_004,4,OID00036,P02768,ALB,0.035,Cardiometabolic,v1.0,Plate_1,PASS,0.42,6.3044
Sample_004,4,OID00037,P04217,A1BG,0.027,Cardiometabolic,v1.0,Plate_1,PASS,0.67,4.8522
Sample_004,4,OID00038,P01023,A2M,0.010,Cardiometabolic,v1.0,Plate_1,PASS,0.68,4.4738
Sample_004,4,OID00039,P10909,CLU,0.035,Cardiometabolic,v1.0,Plate_1,PASS,0.92,2.1476
Sample_004,4,OID00040,P01024,C3,0.038,Cardiometabolic,v1.0,Plate_1,PASS,1.30,6.5648
Sample_005,5,OID00001,P05231,IL6,0.038,Inflammation,v1.0,Plate_1,PASS,0.59,6.6808
Sample_005,5,OID00002,P01375,TNF,0.048,Inflammation,v1.0,Plate_1,PASS,1.29,5.1114
Sample_005,5,OID00003,P10145,CXCL8,0.030,Inflammation,v1.0,Plate_1,PASS,0.86,4.6265
Sample_005,5,OID00004,P13232,IL10,0.011,Inflammation,v1.0,Plate_1,PASS,0.41,6.2123
Sample_005,5,OID00005,P01579,IFNG,0.034,Inflammation,v1.0,Plate_1,PASS,0.57,4.6651
Sample_005,5,OID00006,P22301,IL1RL1,0.008,Inflammation,v1.0,Plate_1,PASS,0.67,5.1428
Sample_005,5,OID00007,P05112,IL4,0.001,Inflammation,v1.0,Plate_1,PASS,0.97,4.2325
Sample_005,5,OID00008,P60568,IL2,0.028,Inflammation,v1.0,Plate_1,PASS,0.65,5.1595
Sample_005,5,OID00009,P01374,LTA,0.023,Inflammation,v1.0,Plate_1,PASS,0.29,7.1211
Sample_005,5,OID00010,P29459,IL12A,0.019,Inflammation,v1.0,Plate_1,PASS,0.17,5.3647
Sample_005,5,OID00011,Q16552,IL17A,0.019,Inflammation,v1.0,Plate_1,PASS,1.17,5.3184
Sample_005,5,OID00012,Q9NPH3,IL1A,0.042,Inflammation,v1.0,Plate_1,PASS,1.15,6.2960
Sample_005,5,OID00013,P01583,IL1B,0.027,Inflammation,v1.0,Plate_1,PASS,0.13,6.7911
Sample_005,5,OID00014,P18510,IL1RN,0.017,Inflammation,v1.0,Plate_1,PASS,1.50,5.6201
Sample_005,5,OID00015,P10147,CCL3,0.038,Inflammation,v1.0,Plate_1,PASS,1.01,3.4648
Sample_005,5,OID00016,P13236,CCL4,0.010,Inflammation,v1.0,Plate_1,PASS,1.43,2.8829
Sample_005,5,OID00017,P13501,CCL5,0.033,Inflammation,v1.0,Plate_1,PASS,0.28,5.8555
Sample_005,5,OID00018,P78556,CCL20,0.011,Inflammation,v1.0,Plate_1,PASS,0.89,5.1101
Sample_005,5,OID00019,P02778,CXCL10,0.030,Inflammation,v1.0,Plate_1,PASS,0.33,6.0008
Sample_005,5,OID00020,Q07325,CXCL9,0.006,Inflammation,v1.0,Plate_1,PASS,1.15,2.5680
Sample_005,5,OID00021,P09341,GRO1,0.001,Inflammation,v1.0,Plate_1,PASS,0.25,6.6364
Sample_005,5,OID00022,P01137,TGFB1,0.034,Inflammation,v1.0,Plate_1,PASS,0.54,1.4826
Sample_005,5,OID00023,P09038,FGF2,0.004,Cardiometabolic,v1.0,Plate_1,PASS,1.10,6.4561
Sample_005,5,OID00024,P15692,VEGFA,0.031,Cardiometabolic,v1.0,Plate_1,PASS,1.07,4.6083
Sample_005,5,OID00025,P01189,POMC,0.030,Cardiometabolic,v1.0,Plate_1,PASS,1.29,7.0699
Sample_005,5,OID00026,P01308,INS,0.049,Cardiometabolic,v1.0,Plate_1,PASS,0.27,6.5420
Sample_005,5,OID00027,P01258,CALCA,0.019,Cardiometabolic,v1.0,Plate_1,PASS,0.70,5.2821
Sample_005,5,OID00028,P06858,LPL,0.017,Cardiometabolic,v1.0,Plate_1,PASS,0.81,3.6437
Sample_005,5,OID00029,P04114,APOB,0.048,Cardiometabolic,v1.0,Plate_1,PASS,0.25,6.6330
Sample_005,5,OID00030,P02647,APOA1,0.041,Cardiometabolic,v1.0,Plate_1,PASS,0.99,2.7398
Sample_005,5,OID00031,P02649,APOE,0.048,Cardiometabolic,v1.0,Plate_1,PASS,1.13,4.5749
Sample_005,5,OID00032,P05155,SERPING1,0.040,Cardiometabolic,v1.0,Plate_1,PASS,0.48,3.4533
Sample_005,5,OID00033,P02741,CRP,0.037,Cardiometabolic,v1.0,Plate_1,PASS,0.71,5.1251
Sample_005,5,OID00034,P02787,TF,0.043,Cardiometabolic,v1.0,Plate_1,PASS,0.48,4.5904
Sample_005,5,OID00035,P00738,HP,0.012,Cardiometabolic,v1.0,Plate_1,PASS,1.33,5.3103
Sample_005,5,OID00036,P02768,ALB,0.031,Cardiometabolic,v1.0,Plate_1,PASS,0.75,4.4417
Sample_005,5,OID00037,P04217,A1BG,0.009,Cardiometabolic,v1.0,Plate_1,PASS,1.29,4.7377
Sample_005,5,OID00038,P01023,A2M,0.040,Cardiometabolic,v1.0,Plate_1,PASS,0.40,5.2495
Sample_005,5,OID00039,P10909,CLU,0.014,Cardiometabolic,v1.0,Plate_1,PASS,1.08,3.3383
Sample_005,5,OID00040,P01024,C3,0.047,Cardiometabolic,v1.0,Plate_1,PASS,0.11,7.6061
Sample_006,6,OID00001,P05231,IL6,0.038,Inflammation,v1.0,Plate_1,PASS,0.78,8.8556
Sample_006,6,OID00002,P01375,TNF,0.032,Inflammation,v1.0,Plate_1,PASS,1.07,6.2264
Sample_006,6,OID00003,P10145,CXCL8,0.011,Inflammation,v1.0,Plate_1,PASS,0.23,4.1424
Sample_006,6,OID00004,P13232,IL10,0.015,Inflammation,v1.0,Plate_1,PASS,1.07,5.1534
Sample_006,6,OID00005,P01579,IFNG,0.021,Inflammation,v1.0,Plate_1,PASS,0.84,3.5197
Sample_006,6,OID00006,P22301,IL1RL1,0.017,Inflammation,v1.0,Plate_1,PASS,1.14,4.1673
Sample_006,6,OID00007,P05112,IL4,0.006,Inflammation,v1.0,Plate_1,PASS,0.45,4.6519
Sample_006,6,OID00008,P60568,IL2,0.006,Inflammation,v1.0,Plate_1,PASS,0.37,3.8595
Sample_006,6,OID00009,P01374,LTA,0.011,Inflammation,v1.0,Plate_1,PASS,0.36,2.5220
Sample_006,6,OID00010,P29459,IL12A,0.036,Inflammation,v1.0,Plate_1,PASS,0.78,4.4320
Sample_006,6,OID00011,Q16552,IL17A,0.005,Inflammation,v1.0,Plate_1,PASS,0.50,6.8096
Sample_006,6,OID00012,Q9NPH3,IL1A,0.011,Inflammation,v1.0,Plate_1,PASS,0.37,4.7321
Sample_006,6,OID00013,P01583,IL1B,0.014,Inflammation,v1.0,Plate_1,PASS,0.85,6.9086
Sample_006,6,OID00014,P18510,IL1RN,0.028,Inflammation,v1.0,Plate_1,PASS,1.46,5.2287
Sample_006,6,OID00015,P10147,CCL3,0.025,Inflammation,v1.0,Plate_1,PASS,1.32,4.7472
Sample_006,6,OID00016,P13236,CCL4,0.029,Inflammation,v1.0,Plate_1,PASS,1.32,4.2627
Sample_006,6,OID00017,P13501,CCL5,0.003,Inflammation,v1.0,Plate_1,PASS,0.36,3.4133
Sample_006,6,OID00018,P78556,CCL20,0.024,Inflammation,v1.0,Plate_1,PASS,1.42,5.3089
Sample_006,6,OID00019,P02778,CXCL10,0.031,Inflammation,v1.0,Plate_1,PASS,0.20,7.4645
Sample_006,6,OID00020,Q07325,CXCL9,0.007,Inflammation,v1.0,Plate_1,PASS,0.18,3.6353
Sample_006,6,OID00021,P09341,GRO1,0.006,Inflammation,v1.0,Plate_1,PASS,1.49,3.8216
Sample_006,6,OID00022,P01137,TGFB1,0.030,Inflammation,v1.0,Plate_1,PASS,1.17,4.5089
Sample_006,6,OID00023,P09038,FGF2,0.023,Cardiometabolic,v1.0,Plate_1,PASS,0.83,5.2716
Sample_006,6,OID00024,P15692,VEGFA,0.043,Cardiometabolic,v1.0,Plate_1,PASS,0.72,3.9621
Sample_006,6,OID00025,P01189,POMC,0.030,Cardiometabolic,v1.0,Plate_1,PASS,0.97,6.2780
Sample_006,6,OID00026,P01308,INS,0.047,Cardiometabolic,v1.0,Plate_1,PASS,1.14,4.9198
Sample_006,6,OID00027,P01258,CALCA,0.008,Cardiometabolic,v1.0,Plate_1,PASS,1.02,5.2707
Sample_006,6,OID00028,P06858,LPL,0.004,Cardiometabolic,v1.0,Plate_1,PASS,0.34,5.9966
Sample_006,6,OID00029,P04114,APOB,0.015,Cardiometabolic,v1.0,Plate_1,PASS,0.93,6.6412
Sample_006,6,OID00030,P02647,APOA1,0.035,Cardiometabolic,v1.0,Plate_1,PASS,0.42,5.0276
Sample_006,6,OID00031,P02649,APOE,0.046,Cardiometabolic,v1.0,Plate_1,PASS,1.06,4.5196
Sample_006,6,OID00032,P05155,SERPING1,0.031,Cardiometabolic,v1.0,Plate_1,PASS,1.20,3.4212
Sample_006,6,OID00033,P02741,CRP,0.027,Cardiometabolic,v1.0,Plate_1,PASS,0.70,4.9497
Sample_006,6,OID00034,P02787,TF,0.045,Cardiometabolic,v1.0,Plate_1,PASS,1.01,2.0360
Sample_006,6,OID00035,P00738,HP,0.015,Cardiometabolic,v1.0,Plate_1,PASS,0.33,5.2674
Sample_006,6,OID00036,P02768,ALB,0.028,Cardiometabolic,v1.0,Plate_1,PASS,1.15,4.4882
Sample_006,6,OID00037,P04217,A1BG,0.035,Cardiometabolic,v1.0,Plate_1,PASS,1.06,4.8143
Sample_006,6,OID00038,P01023,A2M,0.025,Cardiometabolic,v1.0,Plate_1,PASS,1.42,5.7504
Sample_006,6,OID00039,P10909,CLU,0.022,Cardiometabolic,v1.0,Plate_1,PASS,0.16,4.3862
Sample_006,6,OID00040,P01024,C3,0.013,Cardiometabolic,v1.0,Plate_1,PASS,0.55,5.0239
Sample_007,7,OID00001,P05231,IL6,0.029,Inflammation,v1.0,Plate_1,PASS,1.27,10.0205
Sample_007,7,OID00002,P01375,TNF,0.050,Inflammation,v1.0,Plate_1,PASS,1.43,7.0817
